questions,answers
What is a new arrival on the transportation map of India ? ,Pipeline transport network is a new arrival on the transportation map of India to transport liquids as well as solids in slurry form.
Why was the Haldia seaport set up ? ,Haldia seaport was set up as a subsidiary port to relieve growing pressure on Kolkata port.
What is the major objective to develop Super Highways?  ,The major objective of developing Super Highways is to reduce the time and distance between the mega-cities of India.
Why was Jawaharlal Nehru port developed ? ,To decongest the Mumbai port and serve as a hub port for the region.
What are known as lifelines of the national economy?,Means of transport and communication.
What are the two major means of land transport?, Roadways  Railways.
Which is the major public sector enterprise of the Central Government?,Indian Railways.
What is the total length of roads in India? How much of this length is surfaced?,The total length of roads in India is 25 lakh kilometre. 57% of this length is surfaced.
What is the policy of Indian Railways regarding electrification?,The rapid electrification of all the railway tracks. 1
Name the two super-fast trains of India.,"Rajdhani Express, Shatabdi Express."
What is the inland navigational potential in India?,"5,200 kilometres."
Name the two navigational rivers of India?,Ganga and Brahmaputra.
Up to which city would Ganga be used in navigation in due course?,Up to Patna and in due course up to Allahabad. 1
Name the two main ports of the western coast of India.,Mumbai and Nhava Sheva.
Golden Quadrilateral refers to which type of roadways ?,Expressway National Highway.
Which groups of cities is connected by National Highway No. 2 ?,Delhi – Amritsar.
Which types of road received special impetus under the Pradhan Mantri Grammen Sadak Yojana ?,Rural Roads.
Which National Highway is the longest in India ?,NH – 7.
Who builds and maintains National Highways ?,Central Government.
Which one is the subsidiary port of Mumbai ?,Jawaharlal Nehru .
Who is responsible to maintain the National Highways ?,National Highway Authority of India.
What is the principal mode of transportation in India ?,Railways.
Which is the deepest land locked and well protected port of India ?,Vishakhapatnam. 
