questions,answers
At which level of government in India 1/3 of seats are reserved for women ? ,Local self Government bodies.
By what term is now the person known who believes in equal rights and opportunities for women.  		Define a feminist ? ,Feminism : The movement concerned with the empowerment of women and giving women equal status in the society as men.
In which constitutional institution have seats been reserved for women ? ,Panchayats and Municipalities.
The concept of patriarchy refers to which system ?,A system that values men more than women. 
What is the aim of ‘feminist movements’ ?,Equality with men.
"According to the 2001 census, what was the sex ratio in India ?",1000 males over 933 females.
In which country is the participation of women in public life very high ?,Sweden.
What is the literacy rate amount the Indian women ?,54%.
What do you mean by a patriarchal society ?,A male dominated society.
Name the group of countries in which participation of women in public life is very high.,"Sweden, Norway and Finland."
How much representation do local governments provide for women in India ?,Women have one-third seats reserved in local selfgovernment bodies.
