questions,answers
Where did the big European powers meet in 1885 for dividing Africa ?,Berlin.
Till the discovery of which place potatoes were not known to people in Asia and Europe ?,America.
Which groups of countries was known as the ‘Allies’ in Europe ?,"Britain, France and Russia later joined by the U.S. 1"
Who was a well-known pioneer of mass production ?,Henry Ford.
Why did the wheat price in India fall down by 50 percent between 1928 and 1934 ?,Due to Great depression.
Which crop was not known to our ancestors until about five centuries ago ?,Potato.
"Identify the group of the countries, which was known as Axis powers during the Second World War ?","Nazi Germany, Japan and Italy."
Which were the main destination of Indian indentured migrants ?,"Caribbean Islands , Surinam, Mauritius, Fiji.  1"
"From which regions, most Indian indentured workers came from ?","Eastern Uttar Pradesh, Bihar Central Indian and dry districts of Tamil Nadu."
What does ‘Silk Route’ refer to ?,Network of routes connecting Asia with Europe and Northern Africa.
Which country has an effective right of VETO over IMF and World Bank ?,USA later joined by the U.S.
What do we call the law that allowed the British Government to restrict the import of corn ?,Corn Laws.
People’s livelihoods and local economy of which country was badly affected by the disease named ‘Rinderpest’ ?,Africa.
Who discovered the continent of America ?,Christopher Columbus.
What was the most powerful weapon used by Spanish to conquer America ?,"Germs, for example : germs of small pox."
Into which riotous carnival the annual Muharram procession was transformed in Trinidad ?,Hosay.
How did Rinderpest reach Africa ?,Through cattle imported to British Asia to feed Italian soldiers.
