questions,answers
Who manufactured the new model of the steam engine in 1781 ?,Mathew Boulton.
What does Industrial revolution refer to ?,Mass production by factories.
When did the earliest factories come up in England ?,In 1730s.
Who improved the steam engine produced by Newcomen ?,James Watt.
Who produced a popular music book that had a picture on the cover page announcing the Dawn of the Century ?,E.T. Paull.
How was the Nationalists message of Swadeshi spread ?,Through advertisements.
What is proto-industrialization ?  ,It was a possible phase in the development of modern industrial economics that preceded and created conditions for the establishment of fully industrial societies.
Name the first country to undergo industrial revolution.,Britain.
"Which mechanical device was used for weaving with ropes and pullies, which helped to weave wide pieces of cloth ?",Fly shuttle.
Which ports had trade links with South Asian ports ?,"Masulipatanam, Hoogly and Surat."
Which Indian port lost its importance during colonial rule ? Why ? ,Surat. The European companies gradually gained power by securing a variety of concessions from local counts and acquiring the monopoly rights of trade. 
