questions,answers
How are issue specific movements different from generic movements ? ,"Issue specific movements seek to achieve a single objective within a limited time frame, while generic movements seek to achieve a broad goal in the long term."
Distinguish between pressure groups and political parties by stating any one point of distinction. 		 ,Pressure groups do not aim to directly control or share political power but political parties directly control and share political power.
Name any two sectional interest groups.  ,"The two sectional interest groups are :  Trade Union  Business associations  Professional bodies–lawyers, doctors, teachers etc.  1"
Differentiate between ‘Sectional Interest Groups’ and ‘Public Interest Groups‘. ,Sectional interest groups seek to promote the interest of a particular section while public interest groups promotes collective rather than selective good.
State the main aim of Backward and Minority Communities Employees Federation. ,Its main aim is with social justice and social equality for the entire society.
Which feature distinguishes a pressure group from a political party ?,The pressure groups do not aim to directly control or share political power while political parties do. 1
What do you understand by “A group fighting against bonded labour” ?,It is an example of sectional interest group.
What is the main feature of public interest groups ?,They promote collective goods.
Write any one aim of the pressure groups.,To influence government policies.
Write any one characteristic of social interest group.,They seek to promote the interests of a particular section or a group of society.
What is the relationship between political parties and pressure groups ?,The pressure groups are either formed or led by the leaders of political parties.
"What is common among FEDECOR, BAMCEF, and Human Rights Organizations ?",They are examples of public interest group.
What is FEDECOR ?,Organisation that led Bolivian mass protest.
Of whom the Human Rights Organizations is an example ?,Public interest group.
"In which two ways, the public interest groups achieve their aims ?",They raise slogans against the government and disrupt public.
Give an example of a public interest group.,BAMCEF.
Which type of group are trade unions ?,Sectional group.
