questions,answers
By what term is now the person known who believes in equal rights and opportunities for women.  Define a feminist ? ,Feminist : A person who believes in equal rights and opportunities for all human beings. 
How much representation do local governments provide for women in India ? How many seats are reserved for the women in the Indian local self-government ? ,One-Third.
What do you mean by a patriarchal society,A male dominated society society..
What is the aim of ‘feminist movements’ ?,Equality with men.
In which constitutional institution have seats been reserved for women ? ,Panchayats and Municipalities.
The concept of patriarchy refers to which system ?,A system that values men more than wom en.
In which country is the participation of women in public life very high ?,Sweden.
What is the literacy rate amount of the Indian women ?,54%.
Name the group of countries in which participation of women in public life is very high.,"Sweden, Norway and Finland."
At which level of government in India 1/3 rd of seats are reserved reserved for women ? ,Local Self Government bodies.
"According to the 2001 census, what was the sex ratio in India ?",1000 males over 933 females.
