questions,answers
Under which economic sector does the production of a commodity through the natural process come ? ,Primary sector.
Where is the disguised unemployment formed mostly ? ,Agriculture sector. Casual workers in the service sector.
A.T.M. is an example of which sector ? ,Service sector.
In which sector are natural products changed into form through ways of manufacturing ? ,Secondary.
In which sector is seasonal and disguised unemployment most prevalent in India ?. ,Agriculture Sector
Mention the share of tertiary sector in terms of GDP in 2003 ? ,Between 50-60%
Which sector helps in the development of the primary and secondary sector ? ,Service /Tertiary sector. 
Which sector includes activities that help in the development of the primary and secondary sector ? ,Tertiary sector.
Name the sector which continued to be the largest employer even in the year 2000. ,Primary sector.
What do final goods and services mean ? ,Total production of the sectors.
Which sector had the highest share in GDP in ,Tertiary sector.
In which sector is manufacturing included ? ,Secondary sector.
Which sector had the highest share in GDP in ,Tertiary sector.
In which sector is manufacturing included ? ,Secondary sector.
Write three activities which belong to the primary sector.,"Agriculture, dairy and mining."
Sahara Airlines and B.S.E.S. are examples of which sector ?,Private sector.
Write three activities which belong to the primary sector.,"Agriculture, dairy and mining."
Which sector generates services rather than goods ?,Tertiary.
Which communities generally find them in the unorganized sector ?,Schedule tribes and backward communities.
"Services such as transport, banking and insurance come under which sector ?",Tertiary sector.
Railway is an example of which sector ?,Public sector.
