questions,answers
Why one cannot refuse a payment made in rupees in India ? ,Because it is accepted as a medium of exchange. The currency is authorized by the government of the country.
How does money eliminate the need for double coincidence of wants ? ,If you have money in your pocket you can purchase any thing at any time as you wish.
Recognize the situation when both the parties in a barter economy have to agree to sell and buy each other‘s commodities ? What is it called ? ,This is known as double coincidence of wants.
What is the meaning of ‘Investment’? ,"The money that is spent to buy assets such as land, building, machines and other equipment is called investment."
Who issues currency notes in India? ,Reserve Bank of India.
What is Barter System? ,Barter is a system of exchange in which goods are  directly exchanged without the use of money.
Who supervise the functioning of formal sources of loan ? ,Reserve Bank of India .
What are the two forms of modern currency ? ,Two forms of modern currency are :  Paper notes  Coins.
What is a Cheque ? ,A Cheque is a paper instruction to the bank to pay a specific amount from the person’s account to the person in whose name the cheque has been issued.
How does money act as Medium of Exchange ? 			 ,It acts as an intermediate in the exchange process and transactions. We can buy things if we have money in our pockets.
What is meant by double coincidence of wants ? ,"Both parties, the seller and they buyers have to agree to sell and buy each other commodities. Goods are directly exchanged without the use of money. "
