,questions,answers
0,Q. 1. Protected forests are not completely safe for wild animals. Why ? ,Ans. Because people living in neighbourhood of such forests encroach upon them and destroy them.
1,Q. 2. Some tribals depend on jungle. How ? ,"Ans. Tribals depend on forest for their livelihood as they get wild fruits, firewood, fibre, construction material, industrial products and product of medicinal importance from it."
2,Q. 3. What is Red Data book ? ,Ans. Red Data Book is the source book which keeps a record of all endangered animals and plants.
3,Q. 4. What do you understand by the term migration ? ,"Ans. The phenomenon of movement of a species from its own habitat to some other for a particular time period every year for a specific purpose like breeding, climatic conditions etc. is called migration."
4,Q. 5. What is desertification ?,"Ans. Deforestation results in more soil erosion. Removal of top layer of soil exposes the lower, hard and rocky layers. This soil has less humus and is less fertile. Gradually the fertile land gets converted into deserts. It is called desertification."
5,Q. 6. Write any two consequences of deforestation.,Ans. Consequences of Deforestation :  Deforestation increases the temperature and pollution level on the earth. It increases the level of carbon dioxide in the atmosphere. 1
6,Q. 7. What do you understand by biological diversity ?,"Ans. Biological diversity, refers to the variety of organism existing on the earth, their inter relationships and their relationship with the environment."
7,Q. 7. What do you understand by Endemic species ? Name two endemic flora and fauna.,"Ans. Endemic species are those species of plants and animals that are found exclusively in a particular area. A particular type of animal or plant may be endemic to a zone, a state or a country. e.g., Sal and wild mango are endemic flora, Bison and the Indian giant squirrel are endemic fauna of the Pachmarhi Biosphere Reserve."
8,Q. 7. Write briefly about Rock paintings.,"Ans. Rock paintings are found inside the Satpura National Park. There are evi-dences of Prehistoric human life in these jungles, figures of animals and men hunting, dancing and playing musical instruments are depicated in these paintings."
9,Q. 7. Which animals are known as endangered animals ?,"Ans. Animals whose numbers are diminishing to a level that they might face extinction are known as the endangered animals. e.g., Dinosaurs become extinct a long time ago. 2"
10,Q. 7. Why small animals are much more in danger of becoming extinct than the bigger animals ?,"Ans. At times, we kill snakes, frogs, lizards, bats and owls ruthlessly without releasing their importance in the ecosystem. By killing them we are harming ourselves. They might be small in size but the if play a significant role in the formation of food chains and food webs."
11,Q. 7. What is Ecosystem ?,"Ans. An ecosyste constitutes the plants, animals and micro-organisms in an area along with non-living components such as climate, soil, river deltas etc."
12,Q. 1. Write in brief about wildlife sanctuary.,"Ans.  Wildlife sanctuaries provide protection and suitable living conditions to wild animals.  Sanctuaries are places where killing  or capturing of animals is strictly prohibited.  Indian sanctuaries have unique landscapes-broad level forests, mountains forests and bush land forests, in deltas of big rivers.  Some of the threatened wild animals such as black buck, white eyed buck, elephant, golden cat and pink headed duck are protected and preserved in our wildlife sanctuaries.  "
13,Q. 2. Explain how deforestation leads to reduction rainfall. ,Ans. Plants need carbon dioxide for photosynthesis. Fewer trees would means that less carbon dioxide is used up resulting in its increased amount in the atmosphere. This leads to global warming as carbon dioxide traps heat rays reflected by the earth. The increase in temperature on the earth disturbs the water cycle and may reduce rainfall.
14,Q. 3. Identify some major national parks of your country. ,Ans. India has 92 national parks based on 2004 database. Some of these are :  Jim Corbett National Park : Uttrakhand.  Dudhwa National Park : Uttar Pradesh.  Kanha National Park : Madhya Pradesh.  Satpura National Park : Madhya Pradesh.
15,Q. 4. Differentiate between the following :  Endangered species and extinct species.  Flora and fauna. ,Ans. Differentiate between the following :  Endangered Species Animals whose numbers are diminishing to a level that they might get extinct are known as the endangered animals. Extinct Species Animals that do not exist any more. found any where are called extinct animals. Example is Dinosaurs.  Flora Fauna The plants found in a particular area are termed as flora of that area. The animals found in a particular area are termed as fauna of that area.
16,Q. 5. Why should paper be saved ? Prepare a list of ways by which you can save paper.,"Ans. Papers is manufactured from trees. Seventeen full grown trees are needed to make one tonne of paper. Hence, protect the trees, we should save papers. Ways to save papers :  Write on both sides of the paper.  Avoid wastage of paper.  Recycle paper for reuse.  Obtain bill on e-mail to reduce paper use."
17,Q. 6. What are the advantages of reforestation ?,Ans. Reforestation is restocking of the destroyed forests by planting new trees.  It retains our green wealth for future generations.  It also aims at preservation and conservation of natural forests and meeting the basic needs of the people living in or near the forests.
