questions,answers
Give two examples of fossil fuels. ,"Coal, Petroleum."
What do you mean by fuel ? ,"A substance that can be consumed to produce energy is called a fuel E.g., coal, petroleum."
Write two characteristics of good fuel. ,Two characteristics of good fuel are : (i) It is smokeless and leaves no residue (ii) It has higher heat of combustion.
Write the full form of CNG. ,Compressed natural gas.
List two characteristics of a good source of energy. ,(i) Easily accessible and easy to store. (ii) Economical and eco-friendly.
What are the two disadvantages of burning fossil fuels ? ,Disadvantages are air pollution and acid rain which affects soil and water.
Mention any two limitations of using fossil fuels. ,(i) Fossil fuels will not last longer. (ii) They are non-renewable sources of energy. ½ + ½
"What are the materials obtained from plants and animals, and used as fuels called ? Name any two biomass energy source.","The materials obtained from plants and animals, used as fuels are called biomass. Coal, wood etc. are the sources of biomass energy. ()"
How charcoal is different from wood ? ,"When the same amount of charcoal and wood are burnt, charcoal produces almost twice the heat produced by wood. Charcoal produces much less smoke than wood. "
What is nuclear energy ?,"The energy released during nuclear fission or fusion, especially when used to generate electricity is called nuclear energy."
Name one fuel used in nuclear reactor. ,Uranium–235.
"Name the reaction responsible for the large energy production in the sun. [Board Term I, Set (42), 2012]",Nuclear fusion
Write two disadvantages of Nuclear Energy. ,(i) Used for production and proliferation of nuclear weapons. (ii) Its generation is very expensive.
Name the two major components present in the left-over slurry of a biogas plant. ,Nitrogen and phosphorus.
Name an efficient fuel obtained from cowdung and other animal and plant wastes. Also mention its main constituents. ,"Biogas, methane."
Write the sequence of events taking place in a biogas plant. ,Slurry fed into digester → decomposition of biomass → production of gases to be used as a fuel.
Name two combustible components of biogas. ,Methane and hydrogen are two combustible components of biogas.
What are hot spots inside earth’s crust ? ,Hot spots are placed within the mantle where rocks melt to generate magma.
Describe the areas where acid rains are most likely expected.,Acid rains are most likely expected in industrial areas where there is emission of oxides of nitrogen and sulphur.
Biogas is also known as gobar gas. Justify. ,Biogas is made up of waste products mainly gobar (cowdung). So it is known as gobar gas.
