questions,answers
Which industries are defined as Small Scale Industries ? ,"A small scale industry is defined with reference to the maximum investment allowed on assets of a unit. This limit has changed over a period of time. At present, the maximum investment allowed is one crore rupees."
Classify industries on the basis of source of raw materials. ," Agro Based Industries, e.g. Cotton textile industry.  Mineral Based Industries, e.g. Cement industry. 1"
"Categorise the following industries into agrobased and mineral-based industries: 		Sugar, Cotton Textile, Iron and Steel , Cement, Food industry"," Agro-based : Sugar, Cotton Textile , Food Industry.  Mineral-based : Iron and Steel, Cement. "
Classify industries on the basis of raw material and finished products.,Heavy Industry and Light Industry.
Name industries which are owned by the State Govt. or some agency of the Central Government.,Public Sector Enterprises.
What is the industrial growth rate at present in India?,7 to 10%
Give an example of Private Sector Industry,"Tata Iron and Steel Company, Jamshedpur."
Name the industry which serve as basis to many industries.,Basic industry.
"On the basis of ownership, in which sector can the Bhilai steel plant be put?",Public Sector.
Give an example of the Consumer Industry,Textile Industry. 
