questions,answers
What does the term ‘Drainage’ mean?,The term ‘drainage’ describes the river system of an area.
What is a ‘drainage basin’?,The area drained by a single river system is called a drainage basin.
Which part of the land is called ‘water divide’?,"Any elevated area, such as a mountain or an upland separates two drainage basins. Such an upland is known as a ‘water divide’."
Into which two major groups are Indian rivers divided?,The Indian rivers are divided into two major groups (i) The Himalayan Rivers (ii) The Peninsular Rivers
Which rivers are called perennial?,Perennial rivers are the ones which have water throughout the year. These rivers receive water from rain as well as from melted snow from the lofty mountains.
Which river has the largest basin in India?,River Ganga
Why are Peninsular rivers called seasonal?,A large number of peninsular rivers are seasonal as their flow is dependent on rainfall and even the large rivers have reduced flow of water in the dry season.
Name the rivers which originate in Central Highlands & flow towards the west.,Rivers Narmada and Tapi.
What is a river system?,A river along with its tributaries may be called a river system.
From where does river Indus originate? ,"River Indus originates in Tibet, near Lake Mansarowar."
Which are the main tributaries of river Indus?,"The Satluj, the Beas, the Ravi, the Chenab and the Jhelum are the main tributaries of river Indus."
Name the main tributaries of the river Ganga.,"The Yamuna, the Ghaghara, the Gandak and the Kosi are the main tributaries of river Ganga."
How is Sunderban Delta named?,The Sunderban delta has derived its name from Sundari trees which grow well in marshland.
By what name is Brahmaputra known in Tibet and Bangladesh?,In Tibet it is known as Tsang-Po and in Bangladesh it is called Jamuna.
Why does river Brahmaputra carry less water in Tibet?,"In Tibet, the river carries a smaller volume of water & less silt as it is a cold and a dry area."
Name the major Peninsular rivers.,"The Mahanadi, the Godavari, the Krishna and the Kaveri."
Which two peninsular rivers form estuaries?,Narmada and Tapi.
Which are the main west flowing rivers of Western Ghats?,"Sabarmati, Mahi, Bharatpuja and Periyar."
Which river is the largest Peninsular river?,"The Godavari, its length is about 1500 km."
Which river is called ‘Dakshin Ganga’?,Godavari is called ‘Dakshin Ganga’ because of its length and the area it covers.
What is ‘Shivasamudram’?,The river Kaveri makes the second biggest waterfall in India.
Name some of the freshwater lakes of India. ,"The Wular lake, The Dal lake, Bhimtal, Nainital, Loktak and Barapani.  "
