questions,answers
Name two destructive phenomenon.,"Lightning, earthquake."
What are two types of charges ?,"Positive charge, negative charge."
What is lightning ?,Lightning is an electric spark on a huge scale.
What is amber ? what happens when amber is rubbed with fur ?,Amber is a kind of resin. It attracts light objects when rubbed with fur.
What is static electricity ?,The electricity generated by rubbing is called static electricity.
Who discovered the static electricity or lightning in clouds ?,Benjamin Franklin in 1752.
What are charged objects ?,The objects that acquire small charges on rubbing are called charged objects.
What is an electric current ?,When charges move then the electricity is called electric current.
What are the safe places during thunderstorm ?,The covered vehicles and buildings are safe during thunderstorm.
Name the device used to save multi- storeyed building from lightning.,Lighting conductor.
What are other natural phenomenon caused by earthquake ?,"Earthquake can cause floods, landslides, tsunami and epidemic."
Name the instrument used to measure earthquake.,Richter scale.
