questions,answers
How much forest area was converted into agricultural land all over India according to the Forest Survey of India between 1951 and 1980 ? ,"26,200 sq. km."
What is the main reason for the depletion of flora and fauna ? ,Insensitivity to our environment.
Which organization of International level has classified existing plants and animal species of the world.  ,International Union for Conservation of National and Nature Resources .
Name an endangered species. ,"Blackbuck, Indian rhino, crocodile, Indian wild ass.  1"
Write the examples of endemic species.,"Mithun, Nicobar Pigeon and Andaman wild pig. 1"
Which two factors are majorly responsible for depletion of forest resources ?,Grazing and fuel-wood collection.
Write the examples of rare species ?,"Hornbill, Himalayan brown bear, wild Asiatic buffalo and desert fox."
Write the examples of extinct species ?,"Asiatic cheetah, Pink head buck."
What do you mean by madhuca insignis and hubbardia heptaneuron ?,Madhuca insignis means a wild variety of Mahua. Hubbardia heptaneuron refers to a species of grass.
How many species of fauna and flora are found in our country ?,"81,000 species of fauna and 47,000 species of flora are found in our country."
