,questions,answers
0,Q. 1. What does ‘Silk Route’ refer refer to ?,Ans. Network of routes connecting Asia with Europe and Northern Africa.
1,Q. 2. Who discovered the continent of America ?,Ans. Christopher Columbus.
2,Q. 3. Who was a well-known pioneer of mass production ?,Ans. Henry Ford.
3,"Q. 4. Identify the group of the countries, which was known as Axis powers during the Second World War ?","Ans. Nazi Germany, Japan and Italy."
4,Q. 5. How did Rinderpest re reach ach Africa,Ans. Through cattle that was imported to British Asia to feed Italian soldiers.
5,Q. 6. Which country has an effective right of VETO over IMF and World Bank ?,Ans. USA.
6,Q. 7. Which crop was not known to our ancestors until about five centuries ago ?,Ans. Potato. the British
7,Q. 8. What do we call the law that allowed the Government to restrict the import of corn ?,Ans. Corn Laws.
8,Q. 9. Till the discovery of which place potatoes were were not known to people in Asia a nd Europe? Europe?,Ans. America. the most powerful weapon used by
9,Q. 10. What was the the Spanish to conquer America ?,"Ans. Germs, for example : germs of small pox."
