questions,answers
What is combustion ?,A chemical process in which a substance burns in the presence of oxygen to release heat is called combustion.
Name two combustible substances.,"Wood, petrol."
What happens when charcoal burns in the air ?,"Charcoal burns in air producing carbon dioxide, heat and light."
Define ignition temperature.,The lowest temperature at which a substance catches fire is called its ignition temperature.
Name different zones of a flame.,Three zones of a flame are :  Non-luminous zone  Luminous zone  Dark zone.
What is the composition of a match-stick ?,"A mixture of antimony trisulphide, potassium chlorate and white phosphorus with some glue and starch applied on the head of the match stick."
Define inflammable substances.,The substance that has very low ignition temperature and can easily catch fire with a flame is called inflammable substance.
Who helps us when a building or an area catches fire ?,Fire brigade helps to extinguish the fire in an area or a buildings.
Name the types of combustion.,Types of combustion :  Rapid combustion.  Spontaneous combustion.  Explosion.
What is global warming ?,The rise in temperature of the atmosphere of the Earth due to increased concentration of carbon dioxide in the air is called global warming.
What is calorific value ?,The amount of heat energy produced on complete combustion of 1 kg of a fuel is called its calorific value.
How is carbon monoxide gas formed ?,Incomplete combustion of any fuel is responsible for the formation of carbon monoxide gas.
