questions,answers
How is iron–ore transported from Kudremukh mines to a port near Mangaluru ? ,Iron-ore is transported as slurry through pipelines.
How did the Bailadila iron-ore field get its name ? ,"The Bailadila hills look like the hump of an ox, hence Bailadila iron-ore field get its name."
Why aluminium metal has great importance ? ,Because it combines the strength of metals such as iron with extreme lightness and also with good conductivity and great malleability.
Why is copper mainly used in electrical cables and electronic industries ? ,"Because of being malleable, ductile and a good conductor of heat and electricity."
What is Hematite ? ,Hematite ore is the most important industrial iron ore in terms of the quantity used.
Name five largest iron-ore producing states of India.,"The five largest iron producing states are Karnataka, Odisha, Chhattisgarh, Goa and Jharkhand."
Name any one use of Manganese. ,It is used in manufacturing of steel and ferromanganese alloy.
Mention any one use of Copper.,"Copper is mainly used in electrical cables, electronics and chemical industries."
What is the most important use of Mica ?,It has insulating property.
Koderma-Gaya-Hazaribagh belt of BiharJharkhand is the leading producer of which mineral ?,Mica.
Which state is the largest producer of Manganese in India ?,Odisha is the largest producer of manganese in India.
Which mineral provides a strong base for the development of metallurgical industry ?,Ferrous.
Which mineral is used in the making of toothpastes ?,Limestone.
Which iron-ore mine is located in Karnataka ?,Kudremukh.
What are Neyvali mines famous for ?,Lignite.
Which is the best variety of iron-ore ?,Magnetite. 
