questions,answers
What are celestial objects ?,"The stars, the planets, the moon and many objects in the sky are called celestial objects.1"
What is full moon day ?,The day on which the whole disc of the moon is visible is known as full moon day.
What is new moon day ?,On the fifteenth day the moon is not visible. This day is known as the new moon day. 1
What are phases of the moon ?,The various shapes of the bright part of the moon as seen during a month are called phases of the moon.
Who landed on the Moon first and when ?,"American astronaut, Neil Armstrong, landed on the moon for the first time on July 1969. 1"
What is the distance of Earth from the Sun ?,150 million km.
Why stars are not visible during the day time ?,The stars are present in the sky during the day time also. They are not visible because of bright sunlight.
What do you mean by constellation ? Name any two.,The stars forming a group that has recognizable shape is called a constellation Ursa major & Orion.
What do you mean by solar system ? What does it consist ?,"The sun and the celestial bodies which revolve around it form the solar system. It consist of large number of bodies such as planets, comets, asterids and meteors."
What is IAU ?,IAU — International Astronomical Union. 1
Why pluto is now not considerd as a planet of solar system ?,"The IAU adopted a new definition of a planet. Pluto does not fit in this definition. Hence, it is no longer a planet of the solar system. 1"
Define satellite. Name the natural satellite of the Earth.,Any celestial body revolving around another celestial body is called its satellite. Moon is natural satellite of earth.
Why is venus called morning star or evening star ?,Venus appears in the Eastern sky before sunrise. Sometimes it appears in Western sky just after sunlight. Therefore it is often called a morning or an evening star.
Why does earth have seasons ?,"The axis of rotation of the Earth is not perpendicular to the path of its orbit, but it is slightly tilted. The tilt is responsible for the change of seasons on the earth."
Write short note on Jupiter.,Jupiter is the largest planet of the solar system. The mass of Jupiter is about 318 times that of our Earth. It rotates very rapidly on its axis. It has large number of satellites. 1
Name the inner and outer planets of solar system.,"Inner planets : Mercury, Venus, the Earth, Mars. Outer planets : Jupiter, Saturn, Uranus, Neptune."
What are meteor showers ?,"When the earth crosses the tail of a comet, swarms of meteors are seen. These are known as meteor showers."
What is the superstitions about the comets ?,"Some people think that comets are messengers of disasters, such as wars, epidemics and floods. But these are all myths and superstitions."
What is the distance between the Earth and the Sun ?,"150,000,000  kms. or 1 A.U."
