questions,answers
Who is the author of the novel ‘Robinson Crusoe’ ? ,Daniel Defoe. 
Who is the author of the ‘Jungle Book’ ? ,Rudyard Kipling.
"Name the novel written by Daniel Defoe, ",Robinson Crusoe.
"The hero of which novel novel finds himself shipR wrecked on an island, rescues a native, makes him a slave and gives him the name Friday ?",Robinson Crusoe.
Which problem of the society was focused in the novel ‘Hard Times’ written by Charles Dickens ?,Terrible effects of industrialisation.
Who wrote the novel ‘Oliver Twist’ ? ,Charles Dickens.
Which book by Charles Charles Dickens has the tale of a poor orphan who lived in a world of petty criminals and beggars ?,Oliver Twist.
"Who wrote ‘Pickwick Papers’, the first serialised novel ?",Charles Dickens.
Who is the author of the novel ‘Mayor of Casterbridge’ ?,Thomas Hardy.
Which book was written with adolescent girls in mind ?,Ramona.
Who published the ‘Tom Jones’ in six volumes ?,Henry Fielding. was the first where novel took
Which country was firm root ?,England and France.
