questions,answers
Which form of government is better-democratic or non-democratic? ,Democratic government is better.
What is meant by transparency ? ,To examine the process of decision-making in a democracy is known as Transparency. 
Why is democratic government better than other alternatives ? , It promotes equality among citizens.  It enhances the dignity of the individual.  1
Which form of government is considered best ? ,Democratic form of Government.
Mention any two features that are common and different to most of the democracies in the world.,"Common features are elections at regular intervals, Constitutions and existence of political parties while different features are their social and economic conditions."
Why decisions are delayed in democracy?,Decisions are delayed in democracy because decisions are taken after debate and deliberation. 1
Which form of Government is prevalent in Pakistan and Bangladesh at present?,Democratic form of government.
Name any two countries which have the most stable democracies.,USA and Switzerland.
Which Government is superior to any other form of Government in promoting dignity and freedom of the individual?,Democratic Government.
Name any one country which is suffering from great economic inequality.,Bangladesh.
Write down any one characteristic of democracy.,Democracies have greater success in setting up regular and free elections.
Write down any one outcome that one can expect of democracy.,Democracies need to assure free and fair elections. 1
When was democracy introduced in India ?,1950.
In what terms is democracy different from one another ?,"Culture, social situations and economic activities. 1"
Which feature is common to most of the democracies ?,"They have formal constitution, hold regular elections and have political parties."
