questions,answers
Who was proclaimed German Emperor in a ceremony held at Versailles in January 1871 ? ,Kaiser William-I of Prussia.
Who was proclaimed the King of United Italy in  ,Victor Emmanuel-II.
When was the Act of Union passed and with what results?,In 1707. It resulted in the formation of the ‘United Kingdom of Great Britain’.
Name the leader and the states which gave leadership in Italian unification.,Victor Emmanuel-II the King of Piedmont and Sardinia gave leadership in Italian unification.
Name the famous hall when Otto von Bismarck gathered to proclaim the German Empire headed by Kaiser William?,The Hall of Mirrors in the Palace of Versailles.
Who has been called the ‘Hero of Two Worlds’ ?,Garibaldi has been called the ‘Hero of Two Worlds’.1
"Mazzini, Garibaldi and Cavour, all made their contribution in their own way in the unification of",Italy.
Who was called ‘Bismarck of Italy’ ?,Garibaldi.
"During the middle of the 19th century, Italy was divided into ____ states.",Seven.
"Elle, the measuring unit in Germany was used to measure.",Cloth.
What did the ‘German Sword’ stand for?,Readiness to fight.
Who was the first Prime Minister of Italy?,Cavour was the first Prime Minister of Italy.
Who was Johann Gottfried Herder?,Herder was a German philosopher who claimed that true German culture was to be discovered among the common people.
