,questions,answers
0,Q. 1. Who manufactured the new model of the steam engine in 1781 ?,Ans. Mathew Boulton. 1
1,Q. 2. What does Industrial revolution refer to ?,Ans. Mass production by factories. 1
2,Q. 3. When did the earliest factories come up in England ?,Ans. In 1730s. 1
3,Q. 4. Who improved the steam engine produced by Newcomen ?,Ans. James Watt. 1
4,Q. 5. Who produced a popular music book that had a picture on the cover page announcing the Dawn of the Century ?,Ans. E.T. Paull. 1
5,Q. 6. How was the Nationalists message of Swadeshi spread ?,Ans. Through advertisements. 1
6,Q. 7. What is proto-industrialization ? (NCERT)  1 mark each ,Ans. It was a possible phase in the development of modern industrial economics that preceded and created conditions for the establishment of fully industrial societies. 1
7,Q. 8. Name the first country to undergo industrial revolution.,Ans. Britain. 1
8,"Q. 9. Which mechanical device was used for weaving with ropes and pullies, which helped to weave wide pieces of cloth ?",Ans. Fly shuttle. 1
9,Q. 10. Which ports had trade links with South Asian ports ?,"Ans. Masulipatanam, Hoogly and Surat. 1"
10,Q. 11. Which Indian port lost its importance during colonial rule ? Why ? (NCERT),Ans. Surat. The European companies gradually gained power by securing a variety of concessions from local counts and acquiring the monopoly rights of trade. 1  3 marks each
