questions,answers
State the meaning of underemployment. ,Are working less than what they are capable of  1 doing.
What is another name of underemployment ? ,Disguised unemployment.  1
What do you mean by disguised unemployment ?,More people engaged in a job than needed. 
Where is the disguised unemployment found mostly ? ,Agriculture sector/casual workers in the service  1 sector.
Suggest any one way to solve underemployment situation in rural areas in India. ," Govt. can spend money on development of the infrastructure like l Bank service l Construction of canals, roads, Credit facility  Identify Identify,, promote and locate industries.   1"
When was Mahatma Gandhi National Rural Employment Guarantee Act implemented ?,2005.
What does GDP stand for ? ,Gross Domestic Product.
What is GDP  ?  l,"It is the value of final goods and services produced within the domestic territory of a country. o f G.D.P., G.D.P., what was the t he share of"
In terms of tertiary sector in 2003 ?,Between 50 to 60%.
Give full form of NREGA.,National Rural Employment Guarantee Act.
For how many days employment is guaranteed under NREGA 2005 ?,100 days.
"The Government of India has implemented the ‘Right to Work’, Work’, in how many district ?",330 districts.
