questions,answers
What is the duty of a co nsumer ? ,He/She should look for the desired information on the product. 
"If you are interested to to buy a brush with toothpaste but shopkeeper denied to sell toothpaste only. In this case, which consumer right is being violated by the seller ? ",Right to choose.
"If any damage is done to a consumer by a trader, under which consumer right one can move to consumer court to get compensation. ",Right to seek redressal.
Name the levels of consumer courts that are available to appeal. ,"Consumer courts at district, state and national levels."
Which logo will you like to see on the electric heater to be sure of its quality ? ,ISI.
Which logo will you like to see on gold jewellery to be sure of its quality. ,The logo of pure gold generally : Hallmark.
Suppose you have buy a packed bottle for drinking water in your journey. Which logo will you like to see be sure about its quality ? ,ISI logo.
Which logo would you like to see while purchasing a tin of edible oil ? ,AGMARK.
Which logo would you like to see for purchasing electrical goods? ,ISI logo.
Suppose your parents want to purchase Gold jewellery along with you; then which logo will you look for on the jewellery ? ,The logo log o for purchase of Gold jewellary is ‘Hallmark’.
A chemist sold you a medicine of expiry date under which consumer right you can approach the consumer court ? ,Right to safety.
When was the Right to Information Act passed?,"The Right to Information Act was passed in Oc tober,"
