questions,answers
Name the alliance formed by the Congress Party. ,United Progressive Alliance .
Which party was the principal opposition party in Lok Sabha in 2004 ? ,Bharatiya Janata Party .
What is the guiding philosophy of Bharatiya Janata Party ?  , Cultural nationalism.  India’s ancient culture and values.  ½ × 2 = 1
The Bahujan Samaj Party stands for what ?  Cause.,Securing the interest of the oppressed people.
What is the requirement laid down by the Election Commission for a political party to be recognized as a ‘State Party‘ ? ,A party that secures at least six percent of the total votes in an election to the Legislative Assembly of a state and wins at least two seats is recognized as a state party. 
Name any one political party that has national level political organization but not recognized as the national political party. ,Samajwadi Party / Samata Party / Rashtriya Janata Dal  1
Name any two regional parties of West Bengal. ,Two regional regional parties of West Bengal Bengal are :  Marxist Forward Bloc  Trinmool Congress.
When was the Communist Party of IndiaMarxist  formed?,1964.
How many parties are registered with the Election Commission of India?,More than 750.
The BJP formed the government in 1998 as the leader of an alliance. Name the alliance.,National Democratic Alliance.
When and under whose leadership was Bahujan Samaj Party  formed?,"1984, Kanshi Ram."
What is the criteria to recognise as a National political party in India ?,6% votes in Lok Sabha or Assembly election in four states and 4 seats in Lok Sabha.
