questions,answers
What is fermentation ?,The process of conversion of sugar into alcohol is known as fermentation.
Identify the organism given below. Where does it reproduce ?,Virus. It reproduces in the host cell.
Name two commonly known antibiotics.,"Streptomycin, tetracycline."
Which microorganisms are able to fix nitrogen from the atmosphere ?,Some bacteria and blue-green algae are able to fix nitrogen from the atmosphere.
What are pathogens ?,Disease-causing micro-organisms are called pathogens.
Name the carrier insect that carries the parasite of malaria.,Female Anopheles mosquito carries the parasite of malaria.
How we can prevent mosquitoes from breeding ?,"All mosquitoes breed in water. Hence, one should not let water collect anywhere, in coolers, tyres, flowerpots etc. By keeping the surroundings clean and dry we can prevent mosquitoes from breeding."
How sugar preserves the food substance ?,Sugar reduces the moisture content in food which inhibits the growth of bacteria to spoil food.
Why are dry fruits and vegetables sold in sealed air packets these days ?,These days dry fruits and even vegetables are sold in sealed air tight packets to prevent the attack of microbes.
How animals get proteins and other nitrogen compounds ?,Animals feeding on plants get proteins and other nitrogen compounds.
