,questions,answers
0,"Q. 1. Who is the author of the ‘Jungle Book’ ? [Board Term I, 2015 DDE-2015, Set-E]",Ans. Rudyard Kipling. 1
1,"Q. 2. Name the novel written by Daniel Defoe,  [Board Term 1, DDE-2015, Set-M]",Ans. Robinson Crusoe. 1
2,Q. 3. Which problem of the society was focused in the novel ‘Hard Times’ written by Charles Dickens ?,Ans. Terrible effects of industrialisation. 1
3,"Q. 4. Who wrote the novel ‘Oliver Twist’ ?  [Board Term 1, 2014 (X30T4XE)]",Ans. Charles Dickens. 1
4,"Q. 5. Who wrote ‘Pickwick Papers’, the first serialised novel ?",Ans. Charles Dickens. 1
5,Q. 6. Which book was written with adolescent girls in mind ?     1 mark each,Ans. Ramona. 1
6,Q. 7. Who published the ‘Tom Jones’ in six volumes ?,Ans. Henry Fielding. 1
7,Q. 8. Which country was the first where novel took firm root ?,Ans. England and France. 1
8,"Q. 9. The hero of which novel finds himself shipwrecked on an island, rescues a native, makes him a slave and gives him the name Friday ?",Ans. Robinson Crusoe. 1
9,Q. 10. Who is the author of the novel ‘Mayor of Casterbridge’ ?,Ans. Thomas Hardy. 1
10,Q. 11. Which book by Charles Dickens has the tale of a poor orphan who lived in a world of petty criminals and beggars ?,Ans. Oliver Twist. 1
