questions,answers
Name any one river valley project which has significantly contributed to the loss of forests. ,Sardar Sarovar Dam.
Write the major sour ce of fresh water in India ?,Ground water.
How much percent of the total volume of world’s water is estimated to exist as fresh water ?,2.5 percent.
What percentage of the total volume of world’s water is estimated to exist as oceans ?,96.5%.
What are the causes of water scarcity ?,"Rapid growth of population, uneven distribution of water resources and increase in demand of water."
Which largest artificial lake was built in 11 th century ?,Bhopal lake.
On which river has the Hirakud Dam been constructed ?,River Mahanadi.
On which river ‘Bhakhra Nangal Dam’ has been constructed ?,River Satluj.
Who proclaimed dams as the temple of mod ern India ?,Jawaharlal Nehru.
Which river is known as the ‘River of Sorrow’ ?,Damodar river.
Name two social movements which were against the multi purpose projects.,Narmada Bachao Andolan and Tehri Dam Andolan.
The Nagarjuna Sagar Dam is built on which river ?,Krishna.
On which river the Salal Dam is built ?,Chenab.
In which regions the release of water from dams during heavy rains aggravated the flood situation in 2006 ?,Maharashtra and Gujarat.
