,questions,answers
0,Q. 1. Explain any three geographical conditions required for the growth of rice in India. How is it possible to grow rice in areas of less rainfall ? Explain with examples. ,"Ans. Three geographical conditions for the growth of rice :  It requires high temperature, .  Annual rainfall above 100 cm.  High humidity l It is possible to grow rice in areas of less rainfall with the help of irrigation in Punjab and Haryana.  5"
1,Q. 2. Mention any two geographical conditions required for the growth of maize crop in India. Describe any three factors which have contributed to increase in maize production. ,"Ans. Geographical conditions required for the growth of maize crop in India :  It is a kharif crop which requires temperature between 21°C to 27°C.  It grows well in alluvial soil. Use of modern inputs such as HYV Seeds, fertilisers and irrigation have contributed to the increasing production of maize."
2,Q. 3. What are the climatic conditions required for the growth of rice ?  ,"Ans. Climatic conditions required for the growth of rice :  It is a Kharif crop which requires high temperature .  High humidity with annual rainfall above 100 cm.  In the areas of less rainfall, it grows with the help of irrigation.  It is grown in the plains of north and north-eastern India, coastal areas and the deltaic regions.  Development of dense network of canal irrigation and tubewells have made it possible to grow rice in areas of less rainfall such as Punjab and Harayana."
3,Q. 4. Define plantation agriculture. Explain any four characteristics of plantation agriculture.  5 marks each,"Ans.		 Plantation Agriculture : It is a type of commercial farming practised in tropical and sub-tropical regions. It was introduced by the British in India. 		Characteristics :  A single crop is grown over large area.  It is capital intensive and done with migrant labour.  All produce is used as raw material in industries such as tea, coffee, rubber, sugarcane, banana.  Plantation has interface of agriculture and industry both.  1+4=5"
4,Q. 5. Explain Rubber cultivation in India under the following heads :  Importance  Geographical conditions  Producing states. ,"Ans.  Importance : Many industries depend upon Rubber as their raw material especially transport industry.  Geographical conditions :  It is an equatorial crop, but also grown in tropical and sub-tropical areas.  It requires moist and humid climate with rainfall of more than 200 cm and temperature above 25°C.  Rubber producing states are Kerala, Tamil Nadu, Karnataka, Andaman and Nicobar Islands and Garo hills of Meghalaya.  1+2+2=5"
5,Q. 6. Explain any four features of primitive subsistence agriculture in India ? 		,"Ans. Features of primitive subsistence agriculture in India are :  It is practised on small patches of land with the help of primitive tools.  Tools which are used are basically traditional tools such as hoe, dao and digging stick.  This type of agriculture totally depends upon monsoon.  When the soil fertility decreases, the farmers shift to another plot of land."
6,Q. 7. What is Intensive subsistence farming? Write three features of intensive farming. ,"Ans. Intensive subsistence farming is practised in areas of high population pressure on land. In this type of farming, the agricultural production is increased by using high doses of biochemical inputs and better agricultural inputs. Features of intensive farming :  High yielding variety  seeds and modern chemical inputs and irrigation are used to increase the production.  The per hectare yield is very high.  More than one crop is cultivated during a year."
7,Q. 8. Which are the two major cotton producing states of North India ? Describe four geographical conditions required for the growth of cotton.  Or 		 Describe the geographical conditions required for the cultivation of cotton ? ,Ans.		Haryana and Uttar Pradesh are the two major cotton producing states of North India. Geographical conditions required for the cultivation of cotton :  It grows well in drier parts of the black cotton soil of the Deccan plateau.  It requires high temperature.  It requires light rainfall or irrigation.  It requires 210 frost free days and bright sunshine for its growth.  1+4=5
8,"Q. 9. Describe any four geographical conditions required for the growth of tea. Mention the two major tea producing states of South India.  Or 		Name the important beverage crop introduced by the British in India. Explain the geographical conditions needed for its cultivation. Write any two important states where it is grown. Or 		In which agricultural production, India is the leading producer as well as exporter in world? Describe the geographical requirements for its growth and development.  Or 		What are the soil type, climatic conditions and rainfall conditions required for the cultivation of tea ? Write two states of India where tea grows. ","Ans.		 Tea : Grows well in tropical and sub-tropical climates. 		 Soil type : Deep and fertile, well-drained soil, rich in humus and organic matters. 		Climate : Warm and moist, frost-free climate throughout the year. 		Rainfall : Frequent showers throughout the year. 		Two states : Assam, West Bengal, Kerala, Tamil Nadu, Himachal Pradesh, Uttaranchal, Andhra Pradesh, Meghalaya and Tripura.   4+1=5"
9,Q. 10. Describe four geographical conditions required for the growth of sugarcane. Name two major sugarcane producing states of North India.  Or 		What geographical conditions are required for the cultivation of sugarcane? Name two largest producing states of sugarcane. 				 ,"Ans. Geographical conditions required for the growth of sugarcane in India :  It is a tropical as well as sub-tropical crop so it requires a hot and humid climate with a temperature of 24°C to 27°C.  It requires an annual rainfall between 75 to 100 cms.  It can be grown on a variety of soils.  Major sugarcane producing states of North India are : Uttar Pradesh, Bihar, Punjab, Haryana.   4+1=5"
10,Q. 11. “Wheat and Rice farming in India are fairly different from each other”. Support the statement with five suitable examples.  Or 		Wheat and Rice farming in India are fairly different from each other. Explain. ,Ans. Basic of difference : Basis of difference Wheat Rice  Rainfall 50-75 cm Above 100 cm  Temperature 15°C Above 25°C Area wise  distribution North and north-west Plains of north and north-west parts of the country  Type of crop Rabi Kharif Major  Punjab West Bengal Producer  1×5=5
11,Q. 12. Distinguish between Primitive subsistence farming and Commercial farming by stating five points of distinction. ,Ans. Subsistence farming Commercial farming
12,Q. 13. Compare the geographical conditions required for the production of cotton and jute.,Ans.  It is practised on small It is practised on a large patches. scale.  Farming depend on Irrigation facilities are irrigation. available.   Primitive used. Cotton requires more Jute requires than 21°C of temperature. temperature.  Rainfall : 50 – 100 cm. tools  Production is low. are Modern technology is used. Cotton Production is higher. Jute 30°C Rainfall : Near about 150 cm.  No costly fertilisers are Chemical fertilisers are used. used.  Frost free days are must Hot and humid during picking days climate is required.  Family members Labourers are hired. provide labour.  Loamy and black soil is Well-drained fertile required. loamy soil is required.  Only cereals and other Commercial food crops are grown grown.  Mainly grown Maharashtra Gujarat. crops are   1×5=5 in Grown in eastern and states of the country.
